time,lambda_main,queue_lambdas.Q1,queue_lambdas.Q2,queue_lambdas.Q3,delays.Q1,delays.Q2,delays.Q3
17,0.13808065509435893,0.13808065509435893,0.13808065509435893,0.13808065509435893,22.7385797330475,3.0859584751361626,4.592813048215925
18,0.1295642946269273,0.1295642946269273,0.1295642946269273,0.1295642946269273,19.04962162023364,3.006932867232777,4.419931615478292
19,0.12270359851342855,0.12270359851342855,0.12270359851342855,0.12270359851342855,16.847730034823538,2.946154718773234,4.289847116638656
20,0.12703133460774357,0.12703133460774357,0.12703133460774357,0.12703133460774357,18.17275129771511,2.9842038554324763,4.370996084797059
21,0.1234007364229445,0.1234007364229445,0.1234007364229445,0.1234007364229445,17.047961605091853,2.952218209318612,4.30271488052066
22,0.12748305978807495,0.12748305978807495,0.12748305978807495,0.12748305978807495,18.323167819651356,2.9882321119225637,4.3796436429705174
23,0.12657284261947713,0.12657284261947713,0.12657284261947713,0.12657284261947713,18.022586013926457,2.9801263465548526,4.362253837207677
24,0.13281756287751253,0.13281756287751253,0.13281756287751253,0.13281756287751253,20.30819194691094,3.0366383544635127,4.48441400535739
25,0.11888640465733175,0.11888640465733175,0.11888640465733175,0.11888640465733175,15.82970505647065,2.913390600786063,4.220731880562626
26,0.13782595649455798,0.13782595649455798,0.13782595649455798,0.13782595649455798,22.607647892517132,3.0835348497298924,4.587446730775888
27,0.16043566178268148,0.16043566178268148,0.16043566178268148,0.16043566178268148,46.24680828533737,3.3146231291871233,5.11832342646875
28,0.15577154489309428,0.15577154489309428,0.15577154489309428,0.15577154489309428,38.0412836378929,3.2641599034688085,4.998985354844545
29,0.1489855682186571,0.1489855682186571,0.1489855682186571,0.1489855682186571,30.235954679988193,3.1934239254014414,4.834968720540721
30,0.15360316721393566,0.15360316721393566,0.15360316721393566,0.15360316721393566,35.142457186520815,3.241218779052321,4.945378988274767
31,0.13515748324506638,0.13515748324506638,0.13515748324506638,0.13515748324506638,21.32137409098794,3.0583695748100594,4.531968731246919
32,0.12234163428288145,0.12234163428288145,0.12234163428288145,0.12234163428288145,16.745610685130263,2.9430162784859273,4.283196292745338
33,0.1381294579023919,0.1381294579023919,0.1381294579023919,0.1381294579023919,22.76384091622541,3.086423301099703,4.593842722108484
34,0.12809510695727244,0.12809510695727244,0.12809510695727244,0.12809510695727244,18.5309862143863,2.9937074201929343,4.391415043952119
35,0.11770183966778265,0.11770183966778265,0.11770183966778265,0.11770183966778265,15.538340743853986,2.9033707764287615,4.199734337695592
36,0.11761032562555868,0.11761032562555868,0.11761032562555868,0.11761032562555868,15.516276964645556,2.9025995580603805,4.198120854321278
37,0.11276898839551847,0.11276898839551847,0.11276898839551847,0.11276898839551847,14.432141302616627,2.8623761226338607,4.114495708980007
38,0.1228024540233151,0.1228024540233151,0.1228024540233151,0.1228024540233151,16.87583658781649,2.947013017533067,4.291667105469626
39,0.13051230853977513,0.13051230853977513,0.13051230853977513,0.13051230853977513,19.399971651082947,3.015528976934239,4.438529750496509
40,0.13794801591288725,0.13794801591288725,0.13794801591288725,0.13794801591288725,22.670205789277496,3.0846958504962156,4.590016869777219
41,0.14286385609009872,0.14286385609009872,0.14286385609009872,0.14286385609009872,25.51351073265926,3.132192008555493,4.695975880297858
42,0.1451199907010944,0.1451199907010944,0.1451199907010944,0.1451199907010944,27.07181631157699,3.1544836302026886,4.746261350376588
43,0.1376632273722326,0.1376632273722326,0.1376632273722326,0.1376632273722326,22.524780964527935,3.081988366772536,4.584024705083168
44,0.13119300230098485,0.13119300230098485,0.13119300230098485,0.13119300230098485,19.65958511628383,3.0217315395011117,4.451980427742243
45,0.11870946380934637,0.11870946380934637,0.11870946380934637,0.11870946380934637,15.78549113596933,2.911889528130523,4.217582106408186
46,0.13828158220156725,0.13828158220156725,0.13828158220156725,0.13828158220156725,22.842944510489783,3.0878731192299447,4.597055305734021
