time,lambda_main,queue_lambdas.Q1,queue_lambdas.Q2,queue_lambdas.Q3,queue_lambdas.Q4,delays.Q1,delays.Q2,delays.Q3,delays.Q4
1,0.1,0.1,0.05,0.05,0.1,24.377426853563374,3.2471515744972206,4.432431675571975,7.974072722364347
2,0.07086719755342202,0.07086719755342202,0.03543359877671101,0.03543359877671101,0.07086719755342202,14.254281714230082,3.1005000530634437,4.163609955109312,6.470848717326147
3,0.07709770069623849,0.07709770069623849,0.038548850348119244,0.038548850348119244,0.07709770069623849,15.64361196509424,3.130739356269112,4.218324545465548,6.742691401229135
4,0.09295495659463321,0.09295495659463321,0.046477478297316605,0.046477478297316605,0.09295495659463321,20.804467051822314,3.210430154642035,4.364290537633284,7.549934835389633
5,0.09392480418932622,0.09392480418932622,0.04696240209466311,0.04696240209466311,0.09392480418932622,21.232886448406738,3.2154359903490866,4.373546485478758,7.605625400849765
6,0.11051944090138383,0.11051944090138383,0.05525972045069191,0.05525972045069191,0.11051944090138383,32.784610869045366,3.3035736711090653,4.5382330991386395,8.704205757735982
7,0.10610462149769016,0.10610462149769016,0.05305231074884508,0.05305231074884508,0.10610462149769016,28.63939780819101,3.2796572931666303,4.493221178631804,8.382102541871918
8,0.10201310959806145,0.10201310959806145,0.051006554799030726,0.051006554799030726,0.10201310959806145,25.635473136127924,3.2577994836118362,4.4522955269480615,8.10416633003444
9,0.12951171518575913,0.12951171518575913,0.06475585759287956,0.06475585759287956,0.12951171518575913,86.88216872352015,3.4105672186967886,4.7426195312818,10.428103283419082
10,0.12265971638098032,0.12265971638098032,0.06132985819049016,0.06132985819049016,0.12265971638098032,54.46077178950031,3.371176367093547,4.666792498893462,9.732671302402496
11,0.1269898820432688,0.1269898820432688,0.0634949410216344,0.0634949410216344,0.1269898820432688,71.26733039691901,3.3959630807690853,4.71442703341278,10.160892770818673
12,0.11446277534801838,0.11446277534801838,0.05723138767400919,0.05723138767400919,0.11446277534801838,37.65232988150518,3.3252327338901524,4.5792073217205145,9.013584371757991
13,0.11850988586926128,0.11850988586926128,0.05925494293463064,0.05925494293463064,0.11850988586926128,44.421402731229335,3.3477591092432974,4.62203640086107,9.354839293777129
14,0.12495457675125533,0.12495457675125533,0.06247728837562767,0.06247728837562767,0.12495457675125533,62.23944996265289,3.3842673546177964,4.691916862489244,9.955017837007087
15,0.1147590942876341,0.1147590942876341,0.05737954714381705,0.05737954714381705,0.1147590942876341,38.07716051057207,3.326871766233483,4.582316207572808,9.037723188330462
16,0.12723798287434396,0.12723798287434396,0.06361899143717198,0.06361899143717198,0.12723798287434396,72.55012425080133,3.397394303212041,4.717185769281183,10.18657236534338
17,0.12124735424865134,0.12124735424865134,0.06062367712432567,0.06062367712432567,0.12124735424865134,50.57093948790254,3.3631698001790933,4.651463134649842,9.600699545035374
18,0.12328466349583138,0.12328466349583138,0.06164233174791569,0.06164233174791569,0.12328466349583138,56.3796592543595,3.3747313207843828,4.67360778395742,9.792231619499516
19,0.12083960685978085,0.12083960685978085,0.06041980342989042,0.06041980342989042,0.12083960685978085,49.549226095339094,3.360865382995676,4.647056280183523,9.563262621746945
20,0.14434400142024845,0.14434400142024845,0.07217200071012422,0.07217200071012422,0.14434400142024845,-300.9831947422267,3.499070089346812,4.915507491372112,12.336171099039335
21,0.1348271838820182,0.13814962851503645,0.0674135919410091,0.0674135919410091,0.1348271838820182,348.1981112418749,3.4417646873508674,4.803161571271532,11.040056444630059
22,0.12418253932951402,0.12418253932951402,0.06209126966475701,0.06209126966475701,0.12418253932951402,59.38588771649313,3.3798519480688634,4.683434377425539,9.879090640536086
23,0.13870883036485632,0.13870883036485632,0.06935441518242816,0.06935441518242816,0.13870883036485632,432.39009608994775,3.4649097889007194,4.848358392974621,11.534344590954092
24,0.12177324170740371,0.12177324170740371,0.060886620853701855,0.060886620853701855,0.12177324170740371,51.95259927182233,3.366146565754102,4.657159180596904,9.649418372704343
25,0.13093902800847496,0.13093902800847496,0.06546951400423748,0.06546951400423748,0.13093902800847496,99.18146746152483,3.418888702041389,4.758725919001409,10.585662029340487
